local_time,done,total,pct,next_missing,last_manifest_local,last_chunk,last_status,lag_min,error
"2026-02-26 23:18 PST",362,550,65.82,"363","2026-02-26 23:17","362","ok",0.3,""
"2026-02-26 23:18 PST",363,550,66.00,"364","2026-02-26 23:18","363","ok",0.2,""
"2026-02-26 23:18 PST",363,550,66.00,"364","2026-02-26 23:18","363","ok",0.4,""
"2026-02-26 23:28 PST",394,550,71.64,"395","2026-02-26 23:28","394","ok",0.4,""
"2026-02-26 23:38 PST",406,550,73.82,"407","2026-02-26 23:37","406","ok",1.4,""
"2026-02-26 23:49 PST",422,550,76.73,"423","2026-02-26 23:48","422","ok",1.0,""
"2026-02-26 23:59 PST",450,550,81.82,"451","2026-02-26 23:58","450","ok",1.0,""
"2026-02-27 00:09 PST",468,550,85.09,"469","2026-02-27 00:09","468","ok",0.3,""
"2026-02-27 00:19 PST",500,550,90.91,"501","2026-02-27 00:19","500","ok",0.2,""
"2026-02-27 00:29 PST",514,550,93.45,"515","2026-02-27 00:28","514","ok",1.5,""
"2026-02-27 00:39 PST",530,550,96.36,"531","2026-02-27 00:39","530","ok",0.5,""
"2026-02-27 00:49 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",3.7,""
"2026-02-27 00:59 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",13.8,""
"2026-02-27 01:10 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",23.9,""
"2026-02-27 01:20 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",34.1,""
"2026-02-27 01:30 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",44.2,""
"2026-02-27 01:40 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",54.3,""
"2026-02-27 01:50 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",64.4,""
"2026-02-27 02:00 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",74.6,""
"2026-02-27 02:10 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",84.7,""
"2026-02-27 02:20 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",94.8,""
"2026-02-27 02:31 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",104.9,""
"2026-02-27 02:41 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",115.1,""
"2026-02-27 02:51 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",125.2,""
"2026-02-27 03:01 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",135.3,""
"2026-02-27 03:11 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",145.4,""
"2026-02-27 03:21 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",155.6,""
"2026-02-27 03:31 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",165.7,""
"2026-02-27 03:41 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",175.8,""
"2026-02-27 03:52 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",185.9,""
"2026-02-27 04:02 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",196.1,""
"2026-02-27 04:12 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",206.2,""
"2026-02-27 04:22 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",216.3,""
"2026-02-27 04:32 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",226.4,""
"2026-02-27 04:42 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",236.6,""
"2026-02-27 04:52 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",246.7,""
"2026-02-27 05:02 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",256.8,""
"2026-02-27 05:13 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",266.9,""
"2026-02-27 05:23 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",277.1,""
"2026-02-27 05:33 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",287.2,""
"2026-02-27 05:43 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",297.3,""
"2026-02-27 05:53 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",307.4,""
"2026-02-27 06:03 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",317.6,""
"2026-02-27 06:13 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",327.7,""
"2026-02-27 06:23 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",337.8,""
"2026-02-27 06:34 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",348.0,""
"2026-02-27 06:44 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",358.1,""
"2026-02-27 06:54 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",368.2,""
"2026-02-27 07:04 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",378.3,""
"2026-02-27 07:14 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",388.5,""
"2026-02-27 07:24 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",398.6,""
"2026-02-27 07:34 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",408.7,""
"2026-02-27 07:44 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",418.9,""
"2026-02-27 07:55 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",429.0,""
"2026-02-27 08:25 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",459.6,""
"2026-02-27 08:35 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",469.7,""
"2026-02-27 08:46 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",479.9,""
"2026-02-27 08:56 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",490.0,""
"2026-02-27 09:06 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",500.1,""
"2026-02-27 09:16 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",510.2,""
"2026-02-27 09:44 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",538.1,""
"2026-02-27 10:08 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",562.4,""
"2026-02-27 10:18 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",572.6,""
"2026-02-27 10:28 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",582.7,""
"2026-02-27 10:38 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",592.8,""
"2026-02-27 10:49 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",602.9,""
"2026-02-27 10:59 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",613.0,""
"2026-02-27 11:30 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",644.1,""
"2026-02-27 11:46 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",660.5,""
"2026-02-27 12:15 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",689.6,""
"2026-02-27 12:25 PST",550,550,100.00,"none","2026-02-27 00:46","550","ok",699.7,""
