"Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","FPTS","FPTS_G","SPTS","SPTS_G","ADP","Pos","minpos","UPURL","teamid","League","PlayerName","xMLBAMID","playerids","playerid","projection_system","projection_type","season"
"NYY","Yankees",145.111,518.493,637.707,148.838,72.6716,26.0665,0.408059,49.6916,105.786,119.737,108.227,18.2181,161.925,5.989,4.23608,0.513029,8.90288,7.84015,2.8974,0.287059,0.412993,0.626422,1.03941,0.428644,0.169713,0.253918,0.668375,0.339363,3.21935,0.318683,,,135.197,59.8468,-2.34,-0.732004,-0.732004,7.439,60.1099414229393,-9.35019278526306,180.949,1210.6,8.348965517,1210.6,8.348965517,1.87999999523163,0.37086093,"OF","/players/aaron-judge/15640/stats/batting",9,"AL","Aaron Judge",592450,"15640","15640","batx","thebatx",2026
"KCR","Royals",151.414,599.119,660.092,174.809,102.739,35.4221,5.52208,31.1258,104.297,96.4669,47.9961,5.00529,112.635,6.41013,5.70403,0.862967,7.05922,36.9379,8.51041,0.291776,0.347701,0.525192,0.872893,0.369179,0.0727113,0.170635,0.426121,0.233416,7.00734,0.311634,,,108.073,30.0783,3.65,2.89805,2.89805,6.56446,30.7816925048828,10.6599073410034,135.84,1015.2,6.723178807,1015.2,6.723178807,3.07999992370605,0.02531646,"SS","/players/bobby-witt-jr/25764/stats/batting",7,"AL","Bobby Witt Jr.",677951,"25764","25764","batx","thebatx",2026
"SEA","Mariners",149.964,538.611,623.634,120.915,58.7351,22.3657,0.849943,38.9647,81.9215,102.935,73.8818,6.88843,172.28,6.20147,4.43577,0.504111,6.34416,7.3288,2.61741,0.224495,0.322563,0.486205,0.808768,0.342992,0.11847,0.276252,0.428846,0.26171,3.60899,0.246987,,,88.8453,15.1581,14.95,-0.477074,-0.477074,6.42462,19.6257148385048,21.7038583755493,127.35,819.6,5.464,819.6,5.464,18.0400009155273,0.23899371,"C","/players/cal-raleigh/21534/stats/batting",11,"AL","Cal Raleigh",663728,"21534","21534","batx","thebatx",2026
"LAD","Dodgers",148.484,559.006,660.136,159.401,77.8507,30.8156,3.12446,47.6101,121.413,118.877,90.9431,13.4598,156.655,4.77875,3.60595,0.738259,8.74732,25.4765,8.21837,0.28515,0.387528,0.606962,0.99449,0.412881,0.137764,0.237308,0.58053,0.321812,5.97173,0.311962,,,131.504,53.5035,0,0.672724,0.672724,6.39968,54.6042687892914,-14.016881942749,168.931,1202.7,8.126351351,1202.7,8.126351351,1.24000000953674,0.91860465,"DH","/players/shohei-ohtani/19755/stats/batting",22,"NL","Shohei Ohtani",660271,"19755","19755","batx","thebatx",2026
"NYM","Mets",154.765,548.017,678.279,148.115,82.9607,26.4472,0.40281,38.3046,107.548,99.6108,121.177,8.89252,123.233,4.16083,3.84113,1.08319,13.8151,16.722,6.07616,0.270275,0.403802,0.529696,0.933498,0.39749,0.178653,0.181685,0.983313,0.25942,3.96667,0.281335,,,126.642,46.4982,-2.99,-0.460309,-0.460309,6.23479,48.722158998251,-10.3500134944916,161.18,1103.9,7.121935483,1103.9,7.121935483,4.63000011444092,0.01875,"OF","/players/juan-soto/20123/stats/batting",25,"NL","Juan Soto",665742,"20123","20123","batx","thebatx",2026
"SEA","Mariners",151.546,597.989,659.331,163.493,103.499,25.7889,6.15537,28.0495,95.5044,87.1587,47.6697,3.64263,145.987,9.2255,3.88973,0.556685,10.7974,25.5513,6.59179,0.273404,0.334543,0.477836,0.812379,0.347445,0.0723002,0.221417,0.326534,0.204432,6.69513,0.316573,,,96.3145,18.4095,0.52,1.37599,1.37599,5.15389,25.0131758451462,2.66776061058044,130.417,888.4,5.844736842,888.4,5.844736842,9.60000038146973,0.00625,"OF","/players/julio-rodriguez/23697/stats/batting",11,"AL","Julio Rodríguez",677594,"23697","23697","batx","thebatx",2026
"BAL","Orioles",152.564,582.605,659.146,155.871,93.729,34.6317,2.69951,24.8111,94.0345,79.9916,64.8937,3.18237,139.967,5.70301,5.40927,0.535056,12.2333,20.4846,5.22892,0.267542,0.343857,0.464011,0.807869,0.347379,0.0984512,0.212346,0.463636,0.196469,5.58039,0.309662,,,96.2523,18.3691,-1.33,0.891779,0.891779,5.00871,20.5351030826569,5.73314797878265,125.285,881.2,5.759477124,881.2,5.759477124,12.25,0.05228758,"SS","/players/gunnar-henderson/26289/stats/batting",2,"AL","Gunnar Henderson",683002,"26289","26289","batx","thebatx",2026
"SDP","Padres",148.445,564.905,645.902,154.138,93.2786,27.5037,4.13546,29.2204,99.2762,85.1469,69.6374,3.0804,128.806,6.21419,4.18959,0.955488,12.4389,23.2781,7.04262,0.272857,0.356603,0.491364,0.847967,0.363534,0.107814,0.19942,0.540638,0.218507,5.91734,0.303885,,,102.79,26.4716,4.32,0.675344,0.675344,4.99121,30.0380167961121,-2.74335527420044,138.356,926.1,6.257432432,926.1,6.257432432,14.1700000762939,0.01290323,"SS/OF","/players/fernando-tatis-jr/19709/stats/batting",29,"NL","Fernando Tatis Jr.",665487,"19709","19709","batx","thebatx",2026
"TOR","Blue Jays",152.96,578.661,662.677,173.14,109.606,30.8455,1.16237,31.5268,97.6073,98.0011,71.9629,7.0031,87.5299,7.13641,4.28944,0.627297,16.5053,5.85797,2.26399,0.299209,0.380998,0.519978,0.900976,0.383913,0.108594,0.132085,0.822152,0.220769,3.4567,0.305272,,,116.424,38.1235,-0.37,-0.955085,-0.955085,4.93494,37.792820751667,-12.3671494722366,149.611,1029,6.725490196,1029,6.725490196,18.3400001525879,0.15286624,"1B","/players/vladimir-guerrero-jr/19611/stats/batting",14,"AL","Vladimir Guerrero Jr.",665489,"19611","19611","batx","thebatx",2026
"TEX","Rangers",124.021,458.247,531.47,126.281,73.7865,23.742,0.677031,28.0754,71.4989,83.919,60.1181,8.51236,100.102,4.65703,4.28203,0.486776,10.36,1.76838,0.711356,0.275574,0.362327,0.514141,0.876467,0.370389,0.113117,0.18835,0.600566,0.238566,2.37452,0.29372,,,87.5372,24.7399,-0.09,-0.796179,-0.796179,4.83291,24.9466661214828,3.99772182106972,141.097,782.1,6.307258064,782.1,6.307258064,95.6900024414062,0.04901961,"SS","/players/corey-seager/13624/stats/batting",13,"AL","Corey Seager",608369,"13624","13624","batx","thebatx",2026
