"","Name","25-Aug","","Team","","","","","","","","","","","",""
"1","Tarik Skubal","1","669373","DET","53.1","189","87%","202","195.1","27.81%","2.55","30.85%","123","101","123","2.21"
"2","Paul Skenes","3","694973","PIT","45.9","193","91%","196","187.2","23.74%","2.74","29.87%","110","111","120","1.97"
"3","Garrett Crochet","4","676979","BOS","45.4","191","85%","195","205.1","25.68%","2.9","30.49%","117","100","114","2.59"
"4","Yoshinobu Yamamoto","10","808967","LAD","22","178","85%","161","173.2","20.76%","3.22","27.57%","100","107","110","2.49"
"5","Cristopher Sánchez","11","650911","PHI","33.1","196","94%","201","202","20.82%","3.09","24.81%","117","99","116","2.5"
"6","Hunter Brown","6","686613","HOU","22.3","197","93%","184","185.1","20.44%","3.36","26.32%","105","97","103","2.43"
"7","Max Fried","8","608331","NYY","25.3","179","87%","189","195.1","17.23%","3.32","23.40%","109","103","113","2.86"
"8","Logan Gilbert","5","669302","SEA","29.1","161","88%","166","131","26.54%","3.05","27.68%","104","102","108","3.44"
"9","Bryan Woo","12","693433","SEA","29.2","171","87%","198","186.2","22.16%","3.14","26.02%","109","105","112","2.94"
"10","Chris Sale","10","519242","ATL","35.1","159","63%","169","125.2","26.08%","3.02","29.76%","116","102","113","2.58"
"11","Hunter Greene","16","668881","CIN","21.3","169","73%","184","107.2","25.24%","3.24","30.51%","120","104","120","2.76"
"12","Cole Ragans","20","666142","KCR","30.8","165","78%","172","61.2","30.35%","3.37","28.89%","112","101","111","4.67"
"13","Jacob deGrom","9","594798","TEX","33.6","157","53%","185","172.2","22.12%","3.41","27.05%","108","107","117","2.97"
"14","George Kirby","14","669923","SEA","27.4","171","86%","178","126","20.61%","3.21","24.16%","99","111","109","4.21"
"15","Logan Webb","7","657277","SFG","27.5","201","97%","202","207","20.79%","3.25","23.57%","106","105","110","3.22"
"16","Framber Valdez","13","664285","","19.6","191","90%","190","192","14.84%","3.48","22.94%","106","100","110","3.66"
"17","Spencer Schwellenbach","","680885","ATL","20","161","79%","167","110.2","20.70%","3.55","23.96%","107","109","116","3.09"
"18","Eury Pérez","30","691587","MIA","12.5","161","65%","154","95.1","19.00%","3.59","27.13%","115","97","108","3.67"
"19","Kyle Bradish","65","680694","BAL","16.2","151","57%","158","32","29.37%","3.52","25.93%","102","104","106","2.53"
"20","Joe Ryan","15","657746","MIN","24.1","170","88%","182","171","22.50%","3.62","26.55%","108","103","108","3.42"
"21","Freddy Peralta","20","642547","NYM","17.1","179","86%","178","176.2","19.09%","3.74","26.07%","99","108","106","2.7"
"22","Shohei Ohtani","25","660271","LAD","16.4","121","66%","117","47","28.19%","3.08","29.78%","114","101","116","2.87"
"23","Blake Snell","19","605483","LAD","21.1","135","65%","164","61.1","18.11%","3.33","29.49%","104","109","114","2.35"
"24","Tyler Glasnow","18","607192","LAD","18.3","129","61%","148","90.1","17.21%","3.39","28.15%","101","89","97","3.19"
"25","Drew Rasmussen","29","656876","TBR","11.6","155","72%","171","150","15.38%","3.38","23.41%","108","103","108","2.76"
"26","Chase Burns","47","695505","CIN","13.2","139","72%","134","43.1","27.13%","2.96","31.60%","116","103","119","4.57"
"27","Dylan Cease","17","656302","TOR","25","181","90%","187","168","19.94%","3.55","27.60%","108","100","107","4.55"
"28","Nolan McLean","85","690997","NYM","10.3","165","79%","163","159.2","21.81%","3.69","23.12%","108","98","109","2.06"
"29","Jacob Misiorowski","25","694819","MIL","5.6","149","74%","147","66","20.51%","3.41","29.03%","116","103","119","4.36"
"30","Emmet Sheehan","62","686218","LAD","9.4","129","65%","120","73.1","23.02%","3.43","29.55%","101","106","109","2.82"
"31","Trey Yesavage","","702056","TOR","11.1","152","78%","147","112","14.50%","3.39","28.97%","107","90","98","3.21"
"32","Ryan Pepiot","35","686752","TBR","6.5","179","87%","175","167.2","15.61%","3.73","25.08%","106","97","103","3.86"
"33","Jesús Luzardo","44","666200","PHI","24.6","161","78%","181","183.2","20.98%","3.48","27.12%","106","108","112","3.92"
"34","Michael King","28","650633","SDP","16.5","159","76%","176","73.1","16.23%","3.71","24.96%","101","100","102","3.44"
"35","Cam Schlittler","79","693645","NYY","4.7","151","77%","148","73","17.43%","3.68","24.83%","107","99","104","2.96"
"36","Nathan Eovaldi","27","543135","TEX","21.3","148","61%","175","130","21.77%","3.65","23.04%","99","103","104","1.73"
"37","Nick Pivetta","26","601713","SDP","20","183","88%","193","181.2","19.42%","3.76","26.06%","101","102","103","2.87"
