Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	9810	Ohtani, Shohei	LAD	UT, P	1.19	1	3		27		
2	8956	Judge, Aaron	NYY	OF	2.07	1	4		27		
3	10932	Witt Jr., Bobby	KC	SS	3.07	2	5		27		
4	10030	Soto, Juan	NYM	OF	4.33	2	7		27		
5	8594	Ramirez, Jose	CLE	3B	5.04	3	7		27		
6	10711	Skubal, Tarik	DET	P	6.48	4	9		27		
7	9775	Acuna Jr., Ronald	ATL	OF	7.33	4	12		27		
8	11583	De La Cruz, Elly	CIN	SS	7.56	3	11		27		
9	10260	Rodriguez, Julio	SEA	OF	9.07	7	12		27		
10	11885	Skenes, Paul	PIT	P	10.11	7	15		27		
11	10900	Crochet, Garrett	BOS	P	12.15	7	19		27		
12	9948	Tatis Jr., Fernando	SD	OF	13.37	10	17		27		
13	9787	Tucker, Kyle	LAD	OF	13.96	10	24		27		
14	11108	Henderson, Gunnar	BAL	SS	14.11	10	23		27		
15	11875	Caminero, Junior	TB	3B	14.52	11	20		27		
16	11025	Carroll, Corbin	ARZ	OF	15.63	9	22		27		
17	10866	Raleigh, Cal	SEA	C	17.30	13	23		27		
18	9785	Guerrero Jr., Vladimir	TOR	1B	18.19	13	26		27		
19	12222	Kurtz, Nick	ATH	1B	18.81	11	26		27		
20	11738	Chourio, Jackson	MLW	OF	20.19	13	26		27		
21	10231	Chisholm Jr., Jazz	NYY	2B, 3B	20.52	16	29		27		
22	10312	Alonso, Pete	BAL	1B	24.48	21	36		27		
23	8226	Lindor, Francisco	NYM	SS	24.59	18	49		27		
24	8940	Schwarber, Kyle	PHI	UT	24.63	19	34		27		
25	11883	Yamamoto, Yoshinobu	LAD	P	24.81	14	34		27		
26	9132	Turner, Trea	PHI	SS	26.44	22	33		27		
27	11741	Neto, Zach	LAA	SS	28.81	20	42		27		
28	10770	Sanchez, Cristopher	PHI	P	29.07	18	47		27		
29	11787	Miller, Mason	SD	P	30.33	15	37		27		
30	9112	Marte, Ketel	ARZ	2B	30.67	23	44		27		
31	11750	Wood, James	WAS	OF	32.00	24	46		27		
32	10367	Alvarez, Yordan	HOU	UT	32.19	26	42		27		
33	11864	Crow-Armstrong, Pete	CHC	OF	32.26	25	44		27		
34	9376	Diaz, Edwin	LAD	P	32.56	18	40		27		
35	7891	Machado, Manny	SD	3B	36.22	25	52		27		
36	10712	Gilbert, Logan	SEA	P	36.44	25	46		27		
37	11435	Brown, Hunter	HOU	P	36.78	25	51		27		
38	11800	Woo, Bryan	SEA	P	39.00	29	50		27		
39	10134	Munoz, Andres	SEA	P	39.22	33	44		27		
40	10239	Duran, Jhoan	PHI	P	39.37	31	46		27		
41	11982	Smith, Cade	CLE	P	41.70	28	47		27		
42	11881	Langford, Wyatt	TEX	OF	42.93	31	52		27		
43	7887	Sale, Chris	ATL	P	44.22	36	57		27		
44	8690	Olson, Matt	ATL	1B	44.93	34	63		27		
45	10149	Rooker, Brent	ATH	OF	46.11	36	58		27		
46	10216	Greene, Hunter	CIN	P	46.48	40	60		27		
47	7885	Harper, Bryce	PHI	1B	46.96	30	60		27		
48	9708	Devers, Rafael	SF	1B	50.26	32	64		27		
49	10166	Ragans, Cole	KC	P	50.93	42	62		27		
50	8784	deGrom, Jacob	TEX	P	51.81	40	66		27		
51	8704	Fried, Max	NYY	P	52.11	46	59		27		
52	11911	Rice, Ben	NYY	C, 1B	52.26	28	72		27		
53	10151	Turang, Brice	MLW	2B	52.89	43	64		27		
54	11948	Anthony, Roman	BOS	OF	53.33	40	69		27		
55	10845	Langeliers, Shea	ATH	C	56.37	43	70		27		
56	8638	Betts, Mookie	LAD	SS	56.44	40	79		27		
57	9915	Peralta, Freddy	NYM	P	57.48	32	69		27		
58	10364	Contreras, William	MLW	C	57.59	46	72		27		
59	10480	Webb, Logan	SF	P	60.26	47	75		27		
60	11045	Abrams, CJ	WAS	SS	60.78	37	81		27		
61	7709	Chapman, Aroldis	BOS	P	62.52	45	80		27		
62	10681	Bednar, David	NYY	P	63.33	46	74		27		
63	10255	Naylor, Josh	SEA	1B	63.78	46	91		27		
64	7793	Freeman, Freddie	LAD	1B	63.89	53	85		27		
65	10665	Williams, Devin	NYM	P	64.15	50	83		27		
66	11848	Goodman, Hunter	COL	C	65.00	48	90		27		
67	9821	Riley, Austin	ATL	3B	67.63	51	83		27		
68	10874	Kirby, George	SEA	P	67.96	58	82		27		
69	11387	Garcia, Maikel	KC	3B	69.11	53	84		27		
70	11891	Merrill, Jackson	SD	OF	69.44	50	91		27		
71	10824	Duran, Jarren	BOS	OF	70.59	52	90		27		
72	8674	Buxton, Byron	MIN	OF	74.93	61	93		27		
73	11099	Bradish, Kyle	BAL	P	75.33	66	84		27		
74	10822	Greene, Riley	DET	OF	75.70	64	86		27		
75	10786	Ryan, Joe	MIN	P	76.26	54	118		27		
76	10397	Perdomo, Geraldo	ARZ	SS	76.59	61	92		27		
77	9649	Bellinger, Cody	NYY	OF	77.33	61	92		27		
78	11415	Pasquantino, Vinnie	KC	1B	77.85	70	89		27		
79	10235	Luzardo, Jesus	PHI	P	79.41	65	95		27		
