"Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","FPTS","FPTS_G","SPTS","SPTS_G","woba_sd","truetalent_sd","woba_sd_book","woba_se","total_se","q10","q20","q30","q40","q50","q60","q70","q80","q90","tt_q10","tt_q20","tt_q30","tt_q40","tt_q50","tt_q60","tt_q70","tt_q80","tt_q90","ADP","Pos","minpos","UPURL","teamid","League","PlayerName","xMLBAMID","playerids","playerid","projection_system","projection_type","season"
"NYY","Yankees",141.06,508.605,633.319,143.663,76.8828,23.3053,1.2044,42.2709,108.771,102.31,112.224,24.6995,156.142,6.3332,4.4747,1.6821,,8.8026,2.4683,0.282465,0.415145,0.582358,0.997502,0.412145,0.1772,0.246545,0.718733,0.299892,3.8998,0.322221,-1.336,,125.783,50.9514,-0.178,-0.377466,-1.71347,6.59773,50.2261892557144,-7.53800013661385,169.583,1130.1,8.014893617,1130.1,8.014893617,0.590354,0.0150381,0.532581,0.0234585,0.0278648,0.378,0.389,0.397,0.405,0.412,0.419,0.427,0.436,0.449,0.394,0.4,0.405,0.409,0.412,0.416,0.42,0.425,0.432,1.9099999666214,0.37086093,"OF","/players/aaron-judge/15640/stats/batting",9,"AL","Aaron Judge",592450,"15640","15640","steamer","steamer",2026
"KCR","Royals",139.93,573.62,633.655,167.999,98.9366,36.4209,4.6974,27.9446,98.8269,88.51,47.0172,6.3366,105.89,6.3366,4.3674,2.3137,,31.2062,9.7468,0.292876,0.350608,0.518895,0.869503,0.367969,0.0742,0.16711,0.444018,0.22602,6.69003,0.31533,2.04,,103.122,28.2512,5.971,1.28622,3.32622,6.57337,29.470605134964,12.9680004119873,135.007,952.8,6.805714285,952.8,6.805714285,0.564968,0.015564,0.519166,0.0224438,0.0273123,0.334,0.345,0.353,0.361,0.367,0.374,0.382,0.391,0.404,0.349,0.355,0.36,0.364,0.368,0.372,0.376,0.381,0.389,2.9300000667572,0.02531646,"SS","/players/bobby-witt-jr/25764/stats/batting",7,"AL","Bobby Witt Jr.",677951,"25764","25764","steamer","steamer",2026
"BAL","Orioles",145.86,581.814,665.535,159.7,95.6561,31.674,4.2653,28.1047,100.614,83.7603,70.8129,3.9932,134.225,5.9898,4.2924,2.6262,,23.5674,6.0771,0.274487,0.356765,0.488505,0.84527,0.362127,0.1064,0.201679,0.527571,0.214018,5.96579,0.31053,1.637,,105.154,26.5159,-1.667,1.11265,2.74965,6.0451,30.5520308017731,5.62600016593933,135.444,952.6,6.524657534,952.6,6.524657534,0.551095,0.0160669,0.517033,0.021362,0.0267297,0.329,0.34,0.348,0.355,0.361,0.368,0.376,0.385,0.397,0.342,0.349,0.354,0.358,0.362,0.366,0.371,0.376,0.383,12.4700002670288,0.05228758,"SS","/players/gunnar-henderson/26289/stats/batting",2,"AL","Gunnar Henderson",683002,"26289","26289","steamer","steamer",2026
"SEA","Mariners",137.84,527.329,614.647,121.47,61.6286,21.8616,0.4718,37.508,88.4606,90.8833,75.8475,10.449,163.683,5.5318,4.3095,1.6291,,8.0113,2.5438,0.230349,0.330903,0.486981,0.817883,0.345412,0.1234,0.266304,0.46338,0.256631,3.73394,0.254085,-1.549,,88.7726,16.1473,0.978,-0.314581,-1.86358,5.92764,19.1571118831635,7.38899976015091,129.017,824.4,5.973913043,824.4,5.973913043,0.57659,0.0150381,0.510745,0.023257,0.0276954,0.311,0.322,0.331,0.338,0.345,0.352,0.36,0.369,0.382,0.327,0.333,0.338,0.342,0.346,0.349,0.354,0.358,0.365,18.3500003814697,0.23899371,"C","/players/cal-raleigh/21534/stats/batting",11,"AL","Cal Raleigh",663728,"21534","21534","steamer","steamer",2026
"SEA","Mariners",138.87,559.982,617.685,153.944,95.1207,26.6726,2.3459,29.805,85.038,91.2442,44.2262,3.7061,134.004,8.0299,4.4535,0.9935,,22.593,6.3353,0.274909,0.334365,0.490594,0.824959,0.351701,0.0715999,0.216945,0.330037,0.215685,5.60617,0.309862,0.593,,92.3653,19.3811,5.433,0.975718,1.56872,5.59301,25.8472652435303,7.55900001525879,133.349,857,6.165467625,857,6.165467625,0.561918,0.015564,0.513186,0.0226094,0.0274486,0.318,0.329,0.337,0.344,0.351,0.358,0.366,0.375,0.388,0.332,0.339,0.344,0.348,0.352,0.356,0.36,0.365,0.372,10.0699996948242,0.00625,"OF","/players/julio-rodriguez/23697/stats/batting",11,"AL","Julio Rodríguez",677594,"23697","23697","steamer","steamer",2026
"NYM","Mets",137.61,493.934,621.171,134.811,76.5218,22.6449,1.4188,34.2254,104.912,88.6427,117.153,8.0752,110.542,3.727,4.3214,2.0361,,19.6552,6.3437,0.272933,0.412981,0.532398,0.945379,0.40253,0.1886,0.177958,1.0598,0.259465,4.88567,0.284552,-0.671,,118.521,45.1252,-6.444,0.083313,-0.587687,5.54025,46.9957518577576,-13.5119996070862,164.632,1038.2,7.523188405,1038.2,7.523188405,0.564728,0.0144867,0.529937,0.0226586,0.0268938,0.369,0.38,0.388,0.395,0.402,0.409,0.416,0.425,0.438,0.384,0.391,0.395,0.399,0.403,0.406,0.41,0.415,0.422,4.51000022888184,0.01875,"OF","/players/juan-soto/20123/stats/batting",25,"NL","Juan Soto",665742,"20123","20123","steamer","steamer",2026
"LAD","Dodgers",142.27,554.639,658.176,152.647,77.997,25.223,5.854,43.5728,119.805,99.165,91.4865,16.4544,160.568,4.6072,4.0187,3.4245,,22.2866,6.1765,0.275218,0.379901,0.577486,0.957386,0.397408,0.139,0.243959,0.569768,0.302268,6.75268,0.307669,0.086,,122.845,45.0763,0,0.887273,0.973273,5.29733,46.4763398766518,-16.5979995727539,158.332,1135.1,7.993661971,1135.1,7.993661971,0.600122,0.0139068,0.528589,0.0233921,0.0272137,0.364,0.375,0.383,0.39,0.397,0.404,0.412,0.421,0.433,0.38,0.386,0.391,0.394,0.398,0.401,0.405,0.41,0.416,1.29999995231628,0.91860465,"DH","/players/shohei-ohtani/19755/stats/batting",22,"NL","Shohei Ohtani",660271,"19755","19755","steamer","steamer",2026
"ATL","Braves",147.08,570.607,676.219,162.879,102.637,27.0945,2.3656,30.7819,109.675,84.4624,90.7485,4.0573,135.462,7.4384,4.195,3.2298,,24.1526,6.0759,0.285448,0.38792,0.503061,0.890981,0.383103,0.1342,0.200323,0.669918,0.217613,5.61136,0.323325,1.467,,118.358,38.458,-3.325,1.04335,2.51035,5.27905,40.6213231086731,-11.5219995975494,147.552,1045.7,7.113605442,1045.7,7.113605442,0.551041,0.0170118,0.524152,0.0211905,0.0271742,0.349,0.36,0.368,0.376,0.382,0.389,0.397,0.406,0.419,0.362,0.369,0.374,0.379,0.383,0.387,0.392,0.398,0.405,6.11999988555908,0.04210526,"OF","/players/ronald-acuna-jr/18401/stats/batting",16,"NL","Ronald Acuña Jr.",660670,"18401","18401","steamer","steamer",2026
"TOR","Blue Jays",143.49,551.164,636.639,163.478,99.4914,31.2643,0.5747,32.1479,93.5895,98.9348,73.6591,8.9129,87.5248,6.3664,4.6505,0.799,,4.7882,1.6999,0.296606,0.382964,0.530397,0.913362,0.387143,0.1157,0.13748,0.84158,0.233792,3.05385,0.301119,-0.49,,113.519,38.2955,-1.281,-0.864771,-1.35477,4.70818,37.5405654907227,-13.4350003004074,151.836,1002.1,7.007692307,1002.1,7.007692307,0.565938,0.0144867,0.52546,0.0224296,0.0267012,0.354,0.365,0.373,0.38,0.387,0.393,0.401,0.41,0.422,0.369,0.375,0.38,0.384,0.387,0.391,0.395,0.4,0.406,17.7900009155273,0.15286624,"1B","/players/vladimir-guerrero-jr/19611/stats/batting",14,"AL","Vladimir Guerrero Jr.",665489,"19611","19611","steamer","steamer",2026
"SDP","Padres",130.47,505.142,579.399,138.729,82.3437,26.2921,1.607,28.4864,85.6226,82.6199,63.2124,3.4764,112.546,5.794,3.7255,1.5244,,21.1567,5.3223,0.274634,0.359482,0.502224,0.861706,0.368477,0.1091,0.194246,0.56166,0.22759,5.32536,0.299706,0.591,,94.5317,26.0713,3.064,1.07555,1.66655,4.703,30.3312382698059,-3.64100003242493,141.742,856.3,6.586923076,856.3,6.586923076,0.561907,0.0160669,0.519313,0.023344,0.0283388,0.333,0.345,0.353,0.361,0.368,0.375,0.383,0.392,0.406,0.349,0.355,0.36,0.364,0.369,0.373,0.377,0.382,0.39,14.5100002288818,0.01290323,"SS/OF","/players/fernando-tatis-jr/19709/stats/batting",29,"NL","Fernando Tatis Jr.",665487,"19709","19709","steamer","steamer",2026
