"game_pk","game_date","season","game_type","home_team","away_team","venue_id","venue_name"
413661,2015-04-06,2015,"R","CHICAGOCUBS","STLOUISCARDINALS",17,"Wrigley Field"
413663,2015-04-06,2015,"R","NEWYORKYANKEES","TORONTOBLUEJAYS",3313,"Yankee Stadium"
413656,2015-04-06,2015,"R","DETROITTIGERS","MINNESOTATWINS",2394,"Comerica Park"
413655,2015-04-06,2015,"R","MILWAUKEEBREWERS","COLORADOROCKIES",32,"Miller Park"
413652,2015-04-06,2015,"R","PHILADELPHIAPHILLIES","BOSTONREDSOX",2681,"Citizens Bank Park"
413651,2015-04-06,2015,"R","TAMPABAYRAYS","BALTIMOREORIOLES",12,"Tropicana Field"
413657,2015-04-06,2015,"R","WASHINGTONNATIONALS","NEWYORKMETS",3309,"Nationals Park"
413658,2015-04-06,2015,"R","CINCINNATIREDS","PITTSBURGHPIRATES",2602,"Great American Ball Park"
413659,2015-04-06,2015,"R","LOSANGELESDODGERS","SANDIEGOPADRES",22,"Dodger Stadium"
413649,2015-04-06,2015,"R","SEATTLEMARINERS","LOSANGELESANGELS",680,"Safeco Field"
413653,2015-04-06,2015,"R","KANSASCITYROYALS","CHICAGOWHITESOX",7,"Kauffman Stadium"
413650,2015-04-06,2015,"R","MIAMIMARLINS","ATLANTABRAVES",4169,"Marlins Park"
413654,2015-04-06,2015,"R","HOUSTONASTROS","CLEVELANDINDIANS",2392,"Minute Maid Park"
413662,2015-04-07,2015,"R","OAKLANDATHLETICS","TEXASRANGERS",10,"O.co Coliseum"
413660,2015-04-07,2015,"R","ARIZONADIAMONDBACKS","SANFRANCISCOGIANTS",15,"Chase Field"
413666,2015-04-07,2015,"R","TAMPABAYRAYS","BALTIMOREORIOLES",12,"Tropicana Field"
413665,2015-04-07,2015,"R","MIAMIMARLINS","ATLANTABRAVES",4169,"Marlins Park"
413667,2015-04-08,2015,"R","MILWAUKEEBREWERS","COLORADOROCKIES",32,"Miller Park"
413669,2015-04-08,2015,"R","ARIZONADIAMONDBACKS","SANFRANCISCOGIANTS",15,"Chase Field"
