"grouping_venue_conditions","key_is_year_rolling","key_num_years_rolling","key_year","key_bat_side","venue_id","venue_name","main_team_id","name_display_club","n_pa","index_runs","index_hardhit","index_woba","index_wobatto","index_wobacon","index_xwobacon","index_xbacon","index_obp","index_so","index_bb","index_bacon","index_hits","index_1b","index_2b","index_3b","index_hr","year_range","base_park_id","fetched_at_utc"
"All","1","3","2025","All",32,"American Family Field","158","Brewers",57434,94,96,97,100,99,98,99,98,109,106,98,94,94,87,89,106,"2023-2025","venue_32","2026-08-04T04:49:31Z"
"All","1","3","2025","All",2681,"Citizens Bank Park","143","Phillies",56613,102,100,101,101,103,99,99,99,104,96,101,101,99,96,100,115,"2023-2025","venue_2681","2026-08-04T04:49:31Z"
"All","1","3","2025","All",5325,"Globe Life Field","140","Rangers",56720,94,102,97,100,97,100,98,97,101,100,96,97,97,95,73,104,"2023-2025","venue_5325","2026-08-04T04:49:31Z"
"All","1","3","2025","All",4705,"Truist Park","144","Braves",56308,102,103,101,99,103,103,103,100,106,99,103,102,104,94,91,105,"2023-2025","venue_4705","2026-08-04T04:49:31Z"
"All","1","3","2025","All",5,"Progressive Field","114","Guardians",55909,94,96,97,97,96,98,100,98,102,100,98,97,98,106,71,85,"2023-2025","venue_5","2026-08-04T04:49:31Z"
"All","1","3","2025","All",2680,"Petco Park","135","Padres",57155,94,98,97,100,97,99,99,97,102,103,97,96,97,92,63,102,"2023-2025","venue_2680","2026-08-04T04:49:31Z"
"All","1","3","2025","All",17,"Wrigley Field","112","Cubs",55966,94,100,97,99,97,100,100,97,103,100,97,96,98,86,116,99,"2023-2025","venue_17","2026-08-04T04:49:31Z"
"All","1","3","2025","All",4169,"loanDepot park","146","Marlins",56592,102,100,101,99,100,101,101,102,97,97,102,103,105,107,117,90,"2023-2025","venue_4169","2026-08-04T04:49:31Z"
"All","1","3","2025","All",7,"Kauffman Stadium","118","Royals",55643,102,104,101,100,98,102,102,102,89,100,100,104,103,113,182,85,"2023-2025","venue_7","2026-08-04T04:49:31Z"
"All","1","3","2025","All",22,"UNIQLO Field at Dodger Stadium","119","Dodgers",60332,102,101,101,105,101,102,101,99,99,101,98,97,92,96,64,127,"2023-2025","venue_22","2026-08-04T04:49:31Z"
"All","1","3","2025","All",15,"Chase Field","109","D-backs",57885,106,102,103,99,102,100,101,103,94,99,102,105,103,115,204,88,"2023-2025","venue_15","2026-08-04T04:49:31Z"
"All","1","3","2025","All",2392,"Daikin Park","117","Astros",55927,100,98,100,100,101,99,99,100,102,100,101,100,100,96,87,105,"2023-2025","venue_2392","2026-08-04T04:49:31Z"
"All","1","3","2025","All",19,"Coors Field","115","Rockies",56521,125,101,112,103,112,101,103,111,90,101,113,117,116,120,201,105,"2023-2025","venue_19","2026-08-04T04:49:31Z"
"All","1","3","2025","All",3312,"Target Field","142","Twins",56677,106,101,103,100,104,101,100,102,103,100,104,102,100,111,96,102,"2023-2025","venue_3312","2026-08-04T04:49:31Z"
"All","1","3","2025","All",3313,"Yankee Stadium","147","Yankees",59620,100,104,100,104,99,102,100,99,101,111,97,94,91,90,63,119,"2023-2025","venue_3313","2026-08-04T04:49:31Z"
"All","1","3","2025","All",14,"Rogers Centre","141","Blue Jays",57292,100,100,100,101,99,99,99,100,97,100,98,99,97,105,68,104,"2023-2025","venue_14","2026-08-04T04:49:31Z"
"All","1","3","2025","All",2394,"Comerica Park","116","Tigers",55444,102,99,101,100,100,100,100,100,98,100,100,100,100,95,143,99,"2023-2025","venue_2394","2026-08-04T04:49:31Z"
"All","1","3","2025","All",4,"Rate Field","145","White Sox",57335,98,97,99,100,98,98,99,100,100,103,99,98,101,92,70,96,"2023-2025","venue_4","2026-08-04T04:49:31Z"
"All","1","3","2025","All",2889,"Busch Stadium","138","Cardinals",54960,100,102,100,99,97,101,101,101,91,96,99,103,107,105,80,87,"2023-2025","venue_2889","2026-08-04T04:49:31Z"
"All","1","3","2025","All",1,"Angel Stadium","108","Angels",55342,102,99,101,102,102,100,99,100,105,103,101,98,98,90,97,113,"2023-2025","venue_1","2026-08-04T04:49:31Z"
"All","1","3","2025","All",31,"PNC Park","134","Pirates",55939,98,102,99,97,97,101,101,101,96,100,100,101,103,115,83,76,"2023-2025","venue_31","2026-08-04T04:49:31Z"
"All","1","3","2025","All",2,"Oriole Park at Camden Yards","110","Orioles",55788,100,105,100,100,101,103,101,99,99,91,101,103,104,98,119,106,"2023-2025","venue_2","2026-08-04T04:49:31Z"
"All","1","3","2025","All",680,"T-Mobile Park","136","Mariners",55729,83,98,91,95,94,99,99,92,116,96,94,89,90,89,52,93,"2023-2025","venue_680","2026-08-04T04:49:31Z"
"All","1","3","2025","All",3309,"Nationals Park","120","Nationals",54984,102,101,101,101,99,101,101,102,90,94,100,104,109,98,98,94,"2023-2025","venue_3309","2026-08-04T04:49:31Z"
"All","1","3","2025","All",2395,"Oracle Park","137","Giants",55185,94,99,97,96,96,97,98,97,97,90,99,101,104,102,122,81,"2023-2025","venue_2395","2026-08-04T04:49:31Z"
"All","1","3","2025","All",3,"Fenway Park","111","Red Sox",56758,110,101,105,99,105,100,100,106,96,97,107,107,107,122,93,89,"2023-2025","venue_3","2026-08-04T04:49:31Z"
"All","1","3","2025","All",3289,"Citi Field","121","Mets",57064,96,101,98,102,97,100,99,99,102,110,96,94,93,89,72,104,"2023-2025","venue_3289","2026-08-04T04:49:31Z"
"All","1","3","2025","All",2602,"Great American Ball Park","113","Reds",55472,106,94,103,104,103,98,99,101,102,103,101,100,96,99,76,123,"2023-2025","venue_2602","2026-08-04T04:49:31Z"
