season,team_name,road_runs,road_games,road_rpg
2015,St. Louis Cardinals,334,82,4.0732
2015,Toronto Blue Jays,441,81,5.4444
2015,Minnesota Twins,323,81,3.9877
2015,Colorado Rockies,288,81,3.5556
2015,Boston Red Sox,315,81,3.8889
2015,Baltimore Orioles,305,81,3.7654
2015,New York Mets,370,81,4.5679
2015,Pittsburgh Pirates,354,81,4.3704
2015,San Diego Padres,329,81,4.0617
2015,Los Angeles Angels,341,81,4.2099
2015,Chicago White Sox,332,81,4.0988
2015,Atlanta Braves,287,81,3.5432
2015,Cleveland Indians,302,81,3.7284
2015,Texas Rangers,347,81,4.284
2015,San Francisco Giants,366,81,4.5185
2015,Houston Astros,362,81,4.4691
2015,Chicago Cubs,363,81,4.4815
2015,Detroit Tigers,352,80,4.4
2015,Washington Nationals,343,81,4.2346
2015,Tampa Bay Rays,333,81,4.1111
2015,Los Angeles Dodgers,330,82,4.0244
2015,Kansas City Royals,350,82,4.2683
2015,Seattle Mariners,346,81,4.2716
2015,Philadelphia Phillies,288,81,3.5556
2015,Milwaukee Brewers,314,81,3.8765
2015,New York Yankees,383,81,4.7284
2015,Miami Marlins,307,81,3.7901
2015,Cincinnati Reds,297,82,3.622
2015,Oakland Athletics,343,81,4.2346
2015,Arizona Diamondbacks,354,81,4.3704
2016,St. Louis Cardinals,424,81,5.2346
2016,Toronto Blue Jays,358,81,4.4198
2016,New York Mets,332,81,4.0988
2016,San Francisco Giants,344,81,4.2469
2016,Minnesota Twins,374,81,4.6173
2016,Seattle Mariners,398,81,4.9136
2016,Philadelphia Phillies,331,81,4.0864
2016,Washington Nationals,398,81,4.9136
2016,Los Angeles Dodgers,375,81,4.6296
2016,Colorado Rockies,337,81,4.1605
2016,Chicago Cubs,419,81,5.1728
2016,Chicago White Sox,341,81,4.2099
2016,Houston Astros,390,81,4.8148
2016,Boston Red Sox,401,81,4.9506
2016,Detroit Tigers,372,82,4.5366
2016,Miami Marlins,353,81,4.358
2016,Texas Rangers,340,81,4.1975
2016,New York Yankees,317,81,3.9136
2016,San Diego Padres,336,81,4.1481
2016,Cleveland Indians,325,80,4.0625
2016,Tampa Bay Rays,358,81,4.4198
2016,Pittsburgh Pirates,370,81,4.5679
2016,Oakland Athletics,365,81,4.5062
2016,Baltimore Orioles,368,81,4.5432
2016,Milwaukee Brewers,330,81,4.0741
2016,Atlanta Braves,314,80,3.925
2016,Cincinnati Reds,351,81,4.3333
2016,Kansas City Royals,298,81,3.679
