"Rank","Team","Park","Years","Overall Park Factor","BACON Park Factor","HR Park Factor","Total BBE"
1,"Rockies","Coors Field","2015-2026",132.54,141.42,108.45,44926
2,"Athletics","Sutter Health Park","2025-2026",121.21,122.32,111.97,5251
3,"Reds","Great American Ball Park","2015-2026",118.08,114.09,119.53,41232
4,"Red Sox","Fenway Park","2015-2026",111.52,120.6,91.71,43418
5,"Orioles","Oriole Park at Camden Yards","2025-2026",108.95,106.74,109.89,5322
6,"Astros","Daikin Park","2015-2026",108.78,106.3,109.86,40963
7,"Phillies","Citizens Bank Park","2015-2026",108.62,106.54,110.72,41699
8,"Brewers","American Family Field","2015-2026",104.85,100.55,108.58,40326
9,"Dodgers","Dodger Stadium","2015-2026",102.03,93.2,110.87,40181
10,"White Sox","Rate Field","2015-2026",99.59,97.13,106.38,41239
11,"Twins","Target Field","2015-2026",99.54,102.3,94.83,43150
12,"Yankees","Yankee Stadium","2015-2026",98.6,91.21,110.58,40556
13,"Cubs","Wrigley Field","2015-2026",98.52,96.25,102.49,41146
14,"Braves","Truist Park","2017-2026",98.14,99.36,97.76,33199
15,"Diamondbacks","Chase Field","2018-2026",97.89,101.21,90.27,30445
16,"Blue Jays","Rogers Centre","2015-2026",97.88,91.35,103.25,40396
17,"Royals","Kauffman Stadium","2026",97.65,97.08,94.57,1155
18,"Nationals","Nationals Park","2015-2026",97.58,97.9,99.49,42510
19,"Angels","Angel Stadium","2015-2026",96.17,93.18,104.3,41443
20,"Tigers","Comerica Park","2023-2026",96.05,95.91,99.21,13067
21,"Rangers","Globe Life Field","2021-2026",94.63,93.11,99.4,21235
22,"Marlins","loanDepot park","2021-2026",93.83,98.35,90.7,21742
23,"Pirates","PNC Park","2015-2026",93.16,95.41,90.54,42411
24,"Padres","Petco Park","2015-2026",92.59,90.48,98.69,40637
25,"Guardians","Progressive Field","2024-2026",91.9,91,95.79,9020
26,"Rays","Tropicana Field","2026",91.49,92.03,91.38,931
27,"Giants","Oracle Park","2021-2026",90.65,98.57,83.63,21341
28,"Mets","Citi Field","2023-2026",90.23,87.15,98.95,12918
29,"Mariners","T-Mobile Park","2015-2026",89.67,83.05,102.5,40356
30,"Cardinals","Busch Stadium","2015-2026",84.53,87.35,87.72,42405
