season,fraction,n_bbe,ev_shift_partial,ev_shift_full,error
2015,0.1,12599,-0.547,-0.078,-0.469
2015,0.2,25197,-0.156,-0.078,-0.078
2015,0.30000000000000004,37796,0.078,-0.078,0.156
2015,0.4,50394,0.156,-0.078,0.234
2015,0.5,62993,0.2,-0.078,0.278
2015,0.6,75592,0.156,-0.078,0.234
2015,0.7000000000000001,88190,0.1,-0.078,0.178
2015,0.8,100789,0,-0.078,0.078
2015,0.9,113387,0.1,-0.078,0.178
2016,0.1,12528,-0.859,0.156,-1.016
2016,0.2,25056,-0.9,0.156,-1.056
2016,0.30000000000000004,37584,-0.859,0.156,-1.016
2016,0.4,50112,-0.547,0.156,-0.703
2016,0.5,62640,-0.312,0.156,-0.469
2016,0.6,75169,-0.156,0.156,-0.312
2016,0.7000000000000001,87697,-0.156,0.156,-0.312
2016,0.8,100225,0.117,0.156,-0.039
2016,0.9,112753,0.156,0.156,0
2017,0.1,12548,-0.938,0.781,-1.719
2017,0.2,25095,-0.234,0.781,-1.016
2017,0.30000000000000004,37643,-0.078,0.781,-0.859
2017,0.4,50190,0.3,0.781,-0.481
2017,0.5,62738,0.5,0.781,-0.281
2017,0.6,75285,0.625,0.781,-0.156
2017,0.7000000000000001,87833,0.664,0.781,-0.117
2017,0.8,100380,0.781,0.781,0
2017,0.9,112928,0.781,0.781,0
2018,0.1,12443,-2.188,-0.547,-1.641
2018,0.2,24886,-1.641,-0.547,-1.094
2018,0.30000000000000004,37328,-1.641,-0.547,-1.094
2018,0.4,49771,-1.328,-0.547,-0.781
2018,0.5,62214,-1.172,-0.547,-0.625
2018,0.6,74657,-1,-0.547,-0.453
2018,0.7000000000000001,87100,-0.859,-0.547,-0.312
2018,0.8,99542,-0.781,-0.547,-0.234
2018,0.9,111985,-0.625,-0.547,-0.078
2019,0.1,12388,-0.43,0.312,-0.742
2019,0.2,24775,-0.547,0.312,-0.859
2019,0.30000000000000004,37163,-0.469,0.312,-0.781
2019,0.4,49550,-0.2,0.312,-0.513
2019,0.5,61938,-0.039,0.312,-0.352
2019,0.6,74326,0.078,0.312,-0.234
2019,0.7000000000000001,86713,0.195,0.312,-0.117
2019,0.8,99101,0.234,0.312,-0.078
2019,0.9,111488,0.312,0.312,0
2021,0.1,12136,-1.211,-0.781,-0.43
2021,0.2,24271,-1.25,-0.781,-0.469
2021,0.30000000000000004,36407,-1.328,-0.781,-0.547
2021,0.4,48543,-1.25,-0.781,-0.469
2021,0.5,60678,-0.938,-0.781,-0.156
2021,0.6,72814,-0.859,-0.781,-0.078
2021,0.7000000000000001,84950,-0.82,-0.781,-0.039
2021,0.8,97086,-0.781,-0.781,0
2021,0.9,109221,-0.781,-0.781,0
2022,0.1,12373,-3.047,-1.719,-1.328
2022,0.2,24746,-3.047,-1.719,-1.328
2022,0.30000000000000004,37120,-2.5,-1.719,-0.781
2022,0.4,49493,-2.2,-1.719,-0.481
2022,0.5,61866,-2,-1.719,-0.281
2022,0.6,74239,-1.953,-1.719,-0.234
2022,0.7000000000000001,86612,-1.875,-1.719,-0.156
2022,0.8,98986,-1.875,-1.719,-0.156
2022,0.9,111359,-1.797,-1.719,-0.078
2023,0.1,12389,-1.7,-1.25,-0.45
2023,0.2,24777,-1.641,-1.25,-0.391
2023,0.30000000000000004,37166,-1.68,-1.25,-0.43
2023,0.4,49554,-1.797,-1.25,-0.547
2023,0.5,61943,-1.641,-1.25,-0.391
2023,0.6,74332,-1.562,-1.25,-0.312
2023,0.7000000000000001,86720,-1.406,-1.25,-0.156
2023,0.8,99109,-1.4,-1.25,-0.15
2023,0.9,111497,-1.3,-1.25,-0.05
2024,0.1,12383,-2.3,-1.641,-0.659
2024,0.2,24766,-2.656,-1.641,-1.016
2024,0.30000000000000004,37149,-2.578,-1.641,-0.938
2024,0.4,49532,-2.578,-1.641,-0.938
2024,0.5,61915,-2.305,-1.641,-0.664
2024,0.6,74298,-2.109,-1.641,-0.469
2024,0.7000000000000001,86681,-1.953,-1.641,-0.312
2024,0.8,99064,-1.719,-1.641,-0.078
2024,0.9,111447,-1.641,-1.641,0
2025,0.1,12445,-3.594,-2.285,-1.309
2025,0.2,24890,-3.281,-2.285,-0.996
2025,0.30000000000000004,37335,-3.125,-2.285,-0.84
2025,0.4,49780,-3.281,-2.285,-0.996
2025,0.5,62225,-3.047,-2.285,-0.762
2025,0.6,74670,-2.734,-2.285,-0.449
2025,0.7000000000000001,87115,-2.6,-2.285,-0.315
2025,0.8,99560,-2.5,-2.285,-0.215
2025,0.9,112005,-2.344,-2.285,-0.059
2026,0.1,3773,-2.2,-2.5,0.3
2026,0.2,7547,-3.1,-2.5,-0.6
2026,0.30000000000000004,11320,-2.891,-2.5,-0.391
2026,0.4,15093,-2.656,-2.5,-0.156
2026,0.5,18866,-2.656,-2.5,-0.156
2026,0.6,22640,-2.4,-2.5,0.1
2026,0.7000000000000001,26413,-2.344,-2.5,0.156
2026,0.8,30186,-2.5,-2.5,0
2026,0.9,33960,-2.52,-2.5,-0.02
