season,ev_shift,ev_floor_adj,tango_n,tango_woba,adj_n,adj_woba,total_bbe,tango_brl_pct,adj_brl_pct
2015,-0.078,98.1,7954,1.454,7811,1.462,156812,5.07,4.98
2016,0.156,97.8,10134,1.469,10326,1.461,170804,5.93,6.05
2017,0.781,97.2,10685,1.536,12065,1.461,182649,5.85,6.61
2018,-0.625,98.6,10529,1.397,9305,1.463,165868,6.35,5.61
2019,0.312,97.7,11869,1.491,12564,1.46,171358,6.93,7.33
2021,-0.859,98.9,11480,1.374,9904,1.458,153415,7.48,6.46
2022,-1.797,99.8,11798,1.286,8525,1.458,165281,7.14,5.16
2023,-1.328,99.3,13006,1.325,10160,1.465,170081,7.65,5.97
2024,-1.875,99.9,11350,1.273,7969,1.467,154125,7.36,5.17
2025,-2.5,100.5,13517,1.225,8624,1.465,164657,8.21,5.24
