ev_bin,la_min,la_max,n_cells,mean_cell_woba,total_n,season
101,24,26,1,1.469,156,2015
102,24,32,4,1.565,489,2015
103,24,38,5,1.665,419,2015
104,24,34,5,1.752,428,2015
105,22,34,6,1.795,446,2015
106,20,36,7,1.825,473,2015
107,20,32,6,1.862,348,2015
108,20,30,5,1.876,253,2015
109,18,28,3,1.673,116,2015
110,18,20,1,1.511,37,2015
101,26,28,1,1.503,162,2016
102,24,32,4,1.618,655,2016
103,24,36,6,1.692,690,2016
104,22,36,7,1.673,703,2016
105,22,34,6,1.849,571,2016
106,20,36,8,1.811,670,2016
107,20,34,7,1.835,437,2016
108,20,30,5,1.874,326,2016
109,20,32,5,1.938,241,2016
110,20,24,2,1.937,94,2016
111,20,22,1,1.771,31,2016
100,30,32,1,1.473,151,2017
101,24,32,4,1.565,650,2017
102,22,34,6,1.596,997,2017
103,22,36,6,1.779,807,2017
104,22,38,8,1.75,871,2017
105,22,38,8,1.752,688,2017
106,20,36,8,1.791,681,2017
107,20,34,6,1.855,434,2017
108,20,32,6,1.924,331,2017
109,18,28,5,1.872,230,2017
110,20,22,1,1.782,39,2017
102,26,32,3,1.568,439,2018
103,24,34,4,1.621,604,2018
104,24,38,6,1.71,591,2018
105,22,38,8,1.709,687,2018
106,22,34,6,1.811,476,2018
107,20,34,7,1.852,483,2018
108,22,32,5,1.927,318,2018
109,20,26,3,1.824,158,2018
110,20,26,3,1.885,99,2018
100,26,28,1,1.462,183,2019
101,24,30,3,1.544,570,2019
102,24,34,5,1.645,743,2019
103,24,34,5,1.706,764,2019
104,22,34,6,1.801,777,2019
105,22,34,6,1.858,632,2019
106,20,36,8,1.82,758,2019
107,22,34,6,1.919,391,2019
108,20,34,7,1.908,416,2019
109,20,28,4,1.897,240,2019
110,18,30,6,1.865,258,2019
111,20,26,3,1.947,129,2019
112,20,22,1,1.903,31,2019
102,26,32,3,1.483,421,2021
103,24,32,4,1.605,528,2021
104,24,36,6,1.684,729,2021
105,22,36,7,1.743,681,2021
106,22,38,8,1.775,636,2021
107,22,36,7,1.866,531,2021
108,22,34,6,1.926,380,2021
109,20,34,6,1.882,328,2021
110,20,28,4,1.908,169,2021
111,20,24,2,1.869,67,2021
112,20,22,1,1.85,30,2021
102,26,28,1,1.488,170,2022
103,26,28,1,1.564,164,2022
104,24,36,6,1.627,689,2022
105,24,34,5,1.818,552,2022
106,22,36,7,1.754,574,2022
107,22,36,7,1.824,516,2022
108,22,32,5,1.952,313,2022
109,20,28,4,1.842,220,2022
110,20,26,3,1.877,126,2022
111,22,26,2,1.955,66,2022
103,26,32,3,1.685,461,2023
104,24,36,6,1.624,793,2023
105,22,34,6,1.728,760,2023
106,22,38,8,1.737,736,2023
107,22,36,7,1.839,555,2023
108,22,34,6,1.895,396,2023
109,20,32,6,1.881,343,2023
110,20,28,4,1.935,200,2023
111,18,32,4,1.825,143,2023
103,24,32,3,1.557,424,2024
104,24,34,5,1.599,568,2024
105,24,36,6,1.657,573,2024
106,22,36,7,1.756,625,2024
107,22,38,8,1.8,526,2024
108,20,32,6,1.854,366,2024
109,22,30,4,1.939,216,2024
110,20,28,4,1.842,155,2024
111,18,22,2,1.506,66,2024
104,26,34,3,1.502,404,2025
105,24,32,4,1.657,544,2025
106,24,36,6,1.72,586,2025
107,22,38,8,1.774,669,2025
108,20,34,7,1.825,582,2025
109,22,34,6,1.943,314,2025
110,22,30,4,1.938,187,2025
111,20,26,3,1.851,111,2025
