season,total_bbe,n_tango,n_ev_adj,n_grid,woba_tango,woba_ev_adj,woba_grid,pct_tango,pct_ev_adj,pct_grid
2015,156812,7954,7811,3390,1.454,1.462,1.772,5.07,4.98,2.16
2016,170804,10134,10326,4638,1.469,1.461,1.783,5.93,6.05,2.72
2017,182649,10685,12065,6352,1.536,1.461,1.747,5.85,6.61,3.48
2018,165868,10529,9305,3835,1.397,1.463,1.797,6.35,5.61,2.31
2019,171358,11869,12564,5712,1.491,1.46,1.797,6.93,7.33,3.33
2021,153415,11480,9904,4164,1.374,1.458,1.818,7.48,6.46,2.71
2022,165281,11798,8525,3626,1.286,1.458,1.799,7.14,5.16,2.19
2023,170081,13006,10160,4430,1.325,1.465,1.802,7.65,5.97,2.6
2024,154125,11350,7969,4050,1.273,1.467,1.742,7.36,5.17,2.63
2025,164657,13517,8624,3536,1.225,1.465,1.783,8.21,5.24,2.15
