batter,season,name,team,pa,hr,bbe_count,max_ev,ev50,ev90,swings,avg_bat_speed,hard_swing_rate,swing_length
592450,2024,Aaron Judge,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=1&team=9&rost=0&age=0"">NYY</a>",704,58,977,117.5,100.62351738241308,111.97755102040816,288,75.927426736,0.6215277777777778,8.132699271
677951,2024,Bobby Witt Jr.,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=1&team=7&rost=0&age=0"">KCR</a>",709,32,1243,116.9,97.8273311897106,109.532,282,73.344904823,0.3723404255319149,6.988521809
660271,2024,Shohei Ohtani,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=1&team=22&rost=0&age=0"">LAD</a>",731,54,1113,119.2,100.9051878354204,112.85714285714286,251,74.774981116,0.4940239043824701,7.812327371
665742,2024,Juan Soto,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=1&team=9&rost=0&age=0"">NYY</a>",713,41,1000,115.7,100.6606,110.78627450980392,144,72.354676389,0.29166666666666674,7.185703264
683002,2024,Gunnar Henderson,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=1&team=2&rost=0&age=0"">BAL</a>",719,37,1111,113.1,98.1935368043088,108.79196428571429,327,74.209285046,0.43119266055045874,7.42479055
596019,2024,Francisco Lindor,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=1&team=25&rost=0&age=0"">NYM</a>",689,33,1190,116.1,96.8894472361809,106.25882352941176,185,72.973741351,0.27567567567567564,7.498161838
680776,2024,Jarren Duran,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=1&team=3&rost=0&age=0"">BOS</a>",735,21,1202,113.9,94.90382695507488,107.2128,236,74.743559407,0.4745762711864407,7.634919831
682829,2024,Elly De La Cruz,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=1&team=18&rost=0&age=0"">CIN</a>",696,25,912,114.7,97.2835886214442,109.7641304347826,249,74.694479759,0.4859437751004016,7.007864297
608070,2024,José Ramírez,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=1&team=5&rost=0&age=0"">CLE</a>",682,39,1360,116.6,97.17867647058824,106.30359712230216,293,69.991835256,0.1535836177474403,7.491188737
606466,2024,Ketel Marte,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2024&month=0&season1=2024&ind=1&team=15&rost=0&age=0"">ARI</a>",583,36,963,117.1,99.1831950207469,110.19285714285714,230,74.308463913,0.4130434782608695,7.73431
