hr_bucket,n,avg_hr,avg_max_ev,sd_max_ev,avg_ev50,sd_ev50,avg_ev90,sd_ev90,pa_filter
<=10,164,6.8,109,2.7,93.7,2.5,102.8,2.6,Qualified (502+ PA)
10-15,234,13.1,110.4,2.5,94.8,1.9,104.5,2.1,Qualified (502+ PA)
15-20,259,18,111.5,2.6,95.6,1.9,105.5,2,Qualified (502+ PA)
20-25,266,22.9,112.4,2.6,96.4,1.8,106.4,2,Qualified (502+ PA)
25-30,183,28,112.7,2.6,96.6,1.8,106.7,2,Qualified (502+ PA)
30-40,220,34.6,114,2.7,97.6,1.8,107.9,2.2,Qualified (502+ PA)
40+,52,46.5,115.9,3.4,99.3,2.1,109.8,2.6,Qualified (502+ PA)
<=10,58,6.9,108.6,2.6,93.1,2.7,101.8,2.5,600+ PA
10-15,84,13.3,110.3,2.7,94.9,1.9,104.2,2,600+ PA
15-20,114,18.2,111.4,2.7,95.6,1.9,105.4,1.9,600+ PA
20-25,140,23,112.7,2.7,96.4,1.8,106.4,2,600+ PA
25-30,123,28.1,112.5,2.5,96.5,1.8,106.6,1.9,600+ PA
30-40,160,34.8,113.8,2.7,97.7,1.9,107.7,2.1,600+ PA
40+,47,46.9,115.7,3.5,99.3,2.1,109.6,2.7,600+ PA
