batter,season,name,team,pa,hr,bbe_count,max_ev,ev50,ev90
547180,2015,Bryce Harper,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2015&month=0&season1=2015&ind=1&team=24&rost=0&age=0"">WSN</a>",654,42,605,116,102.26262295081968,110.3344262295082
545361,2015,Mike Trout,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2015&month=0&season1=2015&ind=1&team=1&rost=0&age=0"">LAA</a>",682,41,632,117.7,102.70157728706624,111.55
518626,2015,Josh Donaldson,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2015&month=0&season1=2015&ind=1&team=14&rost=0&age=0"">TOR</a>",711,41,723,113.6,102.8281767955801,109.68933333333334
458015,2015,Joey Votto,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2015&month=0&season1=2015&ind=1&team=18&rost=0&age=0"">CIN</a>",695,29,594,109.3,98.88787878787879,105.55833333333334
502671,2015,Paul Goldschmidt,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2015&month=0&season1=2015&ind=1&team=15&rost=0&age=0"">ARI</a>",695,33,613,114,101.0624203821656,107.8225806451613
457763,2015,Buster Posey,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2015&month=0&season1=2015&ind=1&team=30&rost=0&age=0"">SFG</a>",623,19,748,110.3,98.13342245989305,104.74
572041,2015,AJ Pollock,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2015&month=0&season1=2015&ind=1&team=15&rost=0&age=0"">ARI</a>",673,20,725,110.6,99.08777173913043,106.29466666666667
592518,2015,Manny Machado,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2015&month=0&season1=2015&ind=1&team=2&rost=0&age=0"">BAL</a>",713,35,785,114.9,100.69263959390862,109.2925
456715,2015,Lorenzo Cain,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2015&month=0&season1=2015&ind=1&team=7&rost=0&age=0"">KCR</a>",604,16,710,111,99.41620111731844,107.29027777777777
592178,2015,Kris Bryant,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2015&month=0&season1=2015&ind=1&team=17&rost=0&age=0"">CHC</a>",650,26,596,114,99.77013422818791,107.28870967741935
457705,2015,Andrew McCutchen,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2015&month=0&season1=2015&ind=1&team=27&rost=0&age=0"">PIT</a>",685,23,660,111.4,99.52175226586102,106.09705882352941
465041,2015,Francisco Cervelli,"<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2015&month=0&season1=2015&ind=1&team=27&rost=0&age=0"">PIT</a>",510,7,530,111.1,97.03471698113208,104.3462962962963
