"Rank","Team","Park","Years","Overall Park Factor","BACON Park Factor","HR Park Factor","Total BBE"
1,"Rockies","Coors Field","2015-2026",132.53,141.57,108.35,22749
2,"Athletics","Sutter Health Park","2025-2026",120.13,121.86,110.8,3266
3,"Reds","Great American Ball Park","2015-2026",117.01,112.49,119.43,21330
4,"Orioles","Oriole Park at Camden Yards","2025-2026",109.59,107.7,110.17,3331
5,"Red Sox","Fenway Park","2015-2026",109.18,117.82,90.56,22236
6,"Astros","Daikin Park","2015-2026",108.12,104.83,110.44,21580
7,"Phillies","Citizens Bank Park","2015-2026",106.58,105.75,107.96,21181
8,"Brewers","American Family Field","2015-2026",105.03,101.02,108.86,21470
9,"Dodgers","Dodger Stadium","2015-2026",101.48,93.26,110.4,21072
10,"Twins","Target Field","2015-2026",99.34,102.46,94.21,21926
11,"Cubs","Wrigley Field","2015-2026",99.03,97.16,102.37,20374
12,"Braves","Truist Park","2017-2026",98.98,100.58,97.53,17494
13,"Blue Jays","Rogers Centre","2015-2026",98.85,92.29,104.33,19887
14,"Diamondbacks","Chase Field","2018-2026",98.68,101.54,91.13,15947
15,"Yankees","Yankee Stadium","2015-2026",98.44,91.67,109.61,21132
16,"White Sox","Rate Field","2015-2026",97.92,95.86,104.46,20979
17,"Royals","Kauffman Stadium","2026",97.68,97.29,94.46,1155
18,"Angels","Angel Stadium","2015-2026",97.23,95.33,103.86,21812
19,"Tigers","Comerica Park","2023-2026",95.97,96.7,98.22,7210
20,"Nationals","Nationals Park","2015-2026",95.74,95.71,98.32,20951
21,"Marlins","loanDepot park","2021-2026",94.24,99.11,90.27,11269
22,"Padres","Petco Park","2015-2026",93.72,92.28,98.89,21563
23,"Pirates","PNC Park","2015-2026",93.39,95.25,91.08,21999
24,"Rangers","Globe Life Field","2021-2026",93.2,91.85,98.23,11273
25,"Guardians","Progressive Field","2024-2026",92.29,91.71,96.12,4730
26,"Giants","Oracle Park","2021-2026",92.05,99.2,85.6,11499
27,"Rays","Tropicana Field","2026",91.7,92.36,91.34,931
28,"Mariners","T-Mobile Park","2015-2026",90.3,84.43,101.67,21115
29,"Mets","Citi Field","2023-2026",89.34,86.49,97.92,7115
30,"Cardinals","Busch Stadium","2015-2026",85.57,88.47,88.06,22238
