"park_era_id","home_team","bacon_n_bbe","bacon_delta","bacon_se","hr_n_bbe","hr_delta","hr_se","xbh_n_bbe","xbh_delta","xbh_se","team_id","team","park","years_used","team_token","team_norm","park_suffix","year_end","year_start","total_bbe","bacon_resid","hr_resid","xbh_resid","overall_weighted_resid","bacon_idx_100","hr_idx_100","xbh_idx_100","overall_pf_idx_100","Rank"
"venue_19__base","COL",22749,0.0302426853758012,0.00229917238150626,22749,0.00517386344763562,0.00118581253588541,22749,0.0205577655994352,0.00187263253578409,"COL","Rockies","Coors Field","2015-2026","col","COL","base",2026,2015,22749,0.0302426853758012,0.00517386344763562,0.0205577655994352,0.01953161374567,141.570371835883,108.347476703467,128.076136170758,132.526227486164,1
"venue_2529__sutter_health","ATH",3266,0.0158588476519849,0.00470344163557001,3266,0.0066526440390175,0.00235920743337204,3266,0.0131533548793615,0.00390739233695207,"ATH","Athletics","Sutter Health Park","2025-2026","ath","ATH","sutter_health",2026,2025,3266,0.0158588476519849,0.0066526440390175,0.0131533548793615,0.0120955778329216,121.863695708068,110.801220546348,117.91614314911,120.127255978286,2
"venue_2602__base","CIN",21330,0.00902035514125426,0.00234568233563477,21330,0.0118537632575277,0.00120087936376689,21330,0.0101033645251935,0.00190282127097333,"CIN","Reds","Great American Ball Park","2015-2026","cin","CIN","base",2026,2015,21330,0.00902035514125426,0.0118537632575277,0.0101033645251935,0.0102286498587378,112.494571855375,119.431448947293,113.731086176185,117.014308834031,3
"venue_2__wall_medium","BAL",3331,0.00552399713710124,0.00466374929553008,3331,0.00627436961188742,0.00234146407890331,3331,0.00547373163120424,0.00387759330491627,"BAL","Orioles","Oriole Park at Camden Yards","2025-2026","bal","BAL","wall_medium",2026,2025,3331,0.00552399713710124,0.00627436961188742,0.00547373163120424,0.005776574402097,107.7043624455,110.173548968902,107.378516110318,109.590843242213,4
"venue_3__base","BOS",22236,0.0129053936586148,0.00231651200960744,22236,-0.00554872788888652,0.0011929227633318,22236,0.00833372418718318,0.00188190525818932,"BOS","Red Sox","Fenway Park","2015-2026","bos","BOS","base",2026,2015,22236,0.0129053936586148,-0.00554872788888652,0.00833372418718318,0.00553211722270301,117.817295684423,90.5554576405611,111.30286681279,109.183231224497,5
"venue_2392__base","HOU",21580,0.00342319354953502,0.00235121937725953,21580,0.00643321915722223,0.00120675572764657,21580,0.00550922739459653,0.0019049492838517,"HOU","Astros","Daikin Park","2015-2026","hou","HOU","base",2026,2015,21580,0.00342319354953502,0.00643321915722223,0.00550922739459653,0.00489390928123784,104.82614199396,110.437128364034,107.427221769958,108.119072555123,6
"venue_2681__base","PHI",21181,0.00409533361428849,0.00233932952356841,21181,0.00494093678696037,0.00119987443574141,21181,0.00200006333190355,0.0018963995207537,"PHI","Phillies","Citizens Bank Park","2015-2026","phi","PHI","base",2026,2015,21181,0.00409533361428849,0.00494093678696037,0.00200006333190355,0.00397224066824666,105.747012127714,107.960980990171,102.612107679633,106.582266788412,7
"venue_32__base","MIL",21470,0.000647471929643874,0.00236064339666616,21470,0.00548276245759413,0.00120785902969556,21470,0.00415999389296699,0.0019134474843823,"MIL","Brewers","American Family Field","2015-2026","mil","MIL","base",2026,2015,21470,0.000647471929643874,0.00548276245759413,0.00415999389296699,0.00304232800709109,101.023245435026,108.86003350072,105.57586539882,105.031714756957,8
"venue_22__base","LAD",21072,-0.0050176725061597,0.0023592827568064,21072,0.00640905375235225,0.00120868865731471,21072,0.0046203669755913,0.00191082472859129,"LAD","Dodgers","Dodger Stadium","2015-2026","lad","LAD","base",2026,2015,21072,-0.0050176725061597,0.00640905375235225,0.0046203669755913,0.000909289580669682,93.2616752089641,110.397030655317,106.207568242388,101.475050563194,9
"venue_3312__base","MIN",21926,0.00169616872692917,0.00231885245261246,21926,-0.00334421062944565,0.00119246283219332,21926,0.00019220355594442,0.00188469057040867,"MIN","Twins","Target Field","2015-2026","min","MIN","base",2026,2015,21926,0.00169616872692917,-0.00334421062944565,0.00019220355594442,-0.000368757081998967,102.460019718579,94.2134179109373,100.131445355207,99.344014034847,10
"venue_17__base","CHC",20374,-0.00217074996357501,0.00234773143360576,20374,0.0015705094602636,0.00120345563704224,20374,-0.000647003441861551,0.0019036283814427,"CHC","Cubs","Wrigley Field","2015-2026","chc","CHC","base",2026,2015,20374,-0.00217074996357501,0.0015705094602636,-0.000647003441861551,-0.000556559860888805,97.1621210833499,102.368423616239,98.9799239764275,99.0308685186233,11
"venue_4705__suntrust","ATL",17494,0.00032399653182143,0.00251433432625798,17494,-0.00134367829526176,0.00126811044786183,17494,-0.00130665174952434,0.00203373358230658,"ATL","Braves","Truist Park","2017-2026","atl","ATL","suntrust",2026,2017,17494,0.00032399653182143,-0.00134367829526176,-0.00130665174952434,-0.00058581931392684,100.580065734128,97.5329055523738,98.0747848024989,98.9820808138823,12
"venue_14__base","TOR",19887,-0.00572427546197742,0.00236267754313047,19887,0.00275350361390723,0.00120879048230659,19887,0.00473340339449738,0.00191242579778257,"TOR","Blue Jays","Rogers Centre","2015-2026","tor","TOR","base",2026,2015,19887,-0.00572427546197742,0.00275350361390723,0.00473340339449738,-0.000665517014122832,92.2935889534997,104.331368381395,106.362671635581,98.8491915264221,13
"venue_15__humidor","AZ",15947,0.00102205865830893,0.00258602023559148,15947,-0.00519955006153918,0.00129957299422318,15947,0.00297531978581169,0.00209333137456594,"AZ","Diamondbacks","Chase Field","2018-2026","az","AZ","humidor",2026,2018,15947,0.00102205865830893,-0.00519955006153918,0.00297531978581169,-0.000764852168137356,101.536450567434,91.1348491668751,103.950309886483,98.6835584177593,14
"venue_3313__base","NYY",21132,-0.00618077363331386,0.00235684249725925,21132,0.00593683226012145,0.00120713932201031,21132,-0.00104406712594577,0.0019090134349522,"NYY","Yankees","Yankee Stadium","2015-2026","nyy","NYY","base",2026,2015,21132,-0.00618077363331386,0.00593683226012145,-0.00104406712594577,-0.000912270269137884,91.6681604838381,109.613472508969,98.4350913878586,98.4377509935486,15
"venue_4__base","CHW",20979,-0.00311869014043348,0.00234570058139138,20979,0.00282871562197623,0.00120268862015971,20979,-0.00406137111095737,0.00190205342879363,"CHW","White Sox","Rate Field","2015-2026","chw","CHW","base",2026,2015,20979,-0.00311869014043348,0.00282871562197623,-0.00406137111095737,-0.00122563431769486,95.8633891028742,104.456167829525,94.2948851525668,97.9152425017606,16
