park,total_bbe,total_barrels,total_hr,barrel_hr,nonbarrel_hr,earned_pct,lucky_pct,overall_pct,period
ATH,42072,2817,1767,1524,243,54.1,13.75,62.73,2015-2025
ATL,40994,2833,1797,1523,274,53.76,15.25,63.43,2015-2025
AZ,42560,2935,1802,1485,317,50.6,17.59,61.4,2015-2025
BAL,42622,3137,2240,1862,378,59.36,16.88,71.41,2015-2025
BOS,42838,3057,1829,1445,384,47.27,21,59.83,2015-2025
CHC,40380,2690,1875,1504,371,55.91,19.79,69.7,2015-2025
CIN,40622,2494,2209,1635,574,65.56,25.98,88.57,2015-2025
CLE,40953,2632,1798,1440,358,54.71,19.91,68.31,2015-2025
COL,44433,2830,2149,1653,496,58.41,23.08,75.94,2015-2025
CWS,41013,2634,1895,1508,387,57.25,20.42,71.94,2015-2025
DET,42404,3035,1764,1379,385,45.44,21.83,58.12,2015-2025
HOU,40517,2569,2030,1365,665,53.13,32.76,79.02,2015-2025
KC,43506,2974,1568,1370,198,46.07,12.63,52.72,2015-2025
LAA,41004,2974,2063,1810,253,60.86,12.26,69.37,2015-2025
LAD,39729,2795,2132,1816,316,64.97,14.82,76.28,2015-2025
MIA,41701,2612,1527,1314,213,50.31,13.95,58.46,2015-2025
MIL,39641,2631,1996,1686,310,64.08,15.53,75.86,2015-2025
MIN,42305,3150,2000,1640,360,52.06,18,63.49,2015-2025
NYM,39984,2592,1847,1518,329,58.56,17.81,71.26,2015-2025
NYY,40077,3069,2288,1745,543,56.86,23.73,74.55,2015-2025
PHI,41009,2722,2066,1619,447,59.48,21.64,75.9,2015-2025
PIT,41906,2550,1485,1254,231,49.18,15.56,58.24,2015-2025
SD,40109,2611,1786,1471,315,56.34,17.64,68.4,2015-2025
SEA,40118,2847,1973,1651,322,57.99,16.32,69.3,2015-2025
SF,41640,2650,1371,1147,224,43.28,16.34,51.74,2015-2025
STL,42023,2818,1607,1395,212,49.5,13.19,57.03,2015-2025
TB,39625,2678,1810,1439,371,53.73,20.5,67.59,2015-2025
TEX,42473,3039,2077,1742,335,57.32,16.13,68.34,2015-2025
TOR,41982,3094,2135,1715,420,55.43,19.67,69,2015-2025
WSH,42061,2985,1937,1682,255,56.35,13.16,64.89,2015-2025
ATH,12520,927,561,491,70,52.97,12.48,60.52,2023-2025
ATL,12192,1035,611,540,71,52.17,11.62,59.03,2023-2025
AZ,12984,963,521,434,87,45.07,16.7,54.1,2023-2025
BAL,12480,1058,602,536,66,50.66,10.96,56.9,2023-2025
BOS,12735,945,521,421,100,44.55,19.19,55.13,2023-2025
CHC,12266,917,556,471,85,51.36,15.29,60.63,2023-2025
CIN,12204,864,649,501,148,57.99,22.8,75.12,2023-2025
CLE,12274,791,478,375,103,47.41,21.55,60.43,2023-2025
COL,13339,1023,631,510,121,49.85,19.18,61.68,2023-2025
CWS,12393,899,535,456,79,50.72,14.77,59.51,2023-2025
DET,12299,949,540,452,88,47.63,16.3,56.9,2023-2025
HOU,12300,924,599,432,167,46.75,27.88,64.83,2023-2025
KC,12890,1013,484,440,44,43.44,9.09,47.78,2023-2025
LAA,12114,1009,650,580,70,57.48,10.77,64.42,2023-2025
LAD,12259,1031,717,641,76,62.17,10.6,69.54,2023-2025
MIA,12767,974,507,457,50,46.92,9.86,52.05,2023-2025
MIL,11866,832,561,484,77,58.17,13.73,67.43,2023-2025
MIN,12322,1014,591,489,102,48.22,17.26,58.28,2023-2025
NYM,12105,997,594,526,68,52.76,11.45,59.58,2023-2025
NYY,12020,1105,682,551,131,49.86,19.21,61.72,2023-2025
PHI,12318,893,634,503,131,56.33,20.66,71,2023-2025
PIT,12443,934,422,387,35,41.43,8.29,45.18,2023-2025
SD,12220,953,554,469,85,49.21,15.34,58.13,2023-2025
SEA,11504,910,545,469,76,51.54,13.94,59.89,2023-2025
SF,12504,923,448,392,56,42.47,12.5,48.54,2023-2025
STL,12983,994,484,433,51,43.56,10.54,48.69,2023-2025
TB,12010,906,581,463,118,51.1,20.31,64.13,2023-2025
TEX,12273,1015,590,509,81,50.15,13.73,58.13,2023-2025
TOR,12513,980,587,483,104,49.29,17.72,59.9,2023-2025
WSH,13069,995,529,477,52,47.94,9.83,53.17,2023-2025
