park,season,total_bbe,total_barrels,total_hr,barrel_hr,nonbarrel_hr,earned_pct,lucky_pct,overall_pct
ATH,2015,4406,192,136,104,32,54.17,23.53,70.83
ATH,2016,4268,235,147,128,19,54.47,12.93,62.55
ATH,2017,4207,294,228,194,34,65.99,14.91,77.55
ATH,2018,4224,300,176,152,24,50.67,13.64,58.67
ATH,2019,4116,293,203,176,27,60.07,13.3,69.28
ATH,2021,4103,312,178,156,22,50,12.36,57.05
ATH,2022,4228,264,138,123,15,46.59,10.87,52.27
ATH,2023,4068,295,175,156,19,52.88,10.86,59.32
ATH,2024,4159,312,156,144,12,46.15,7.69,50
ATH,2025,4293,320,230,191,39,59.69,16.96,71.88
ATL,2015,4177,181,111,82,29,45.3,26.13,61.33
ATL,2016,4228,221,128,107,21,48.42,16.41,57.92
ATL,2017,4306,231,171,136,35,58.87,20.47,74.03
ATL,2018,4191,211,146,112,34,53.08,23.29,69.19
ATL,2019,4100,309,228,200,28,64.72,12.28,73.79
ATL,2021,3926,319,212,178,34,55.8,16.04,66.46
ATL,2022,3874,326,190,168,22,51.53,11.58,58.28
ATL,2023,4109,384,251,223,28,58.07,11.16,65.36
ATL,2024,3970,300,162,143,19,47.67,11.73,54
ATL,2025,4113,351,198,174,24,49.57,12.12,56.41
AZ,2015,4283,261,153,125,28,47.89,18.3,58.62
AZ,2016,4404,324,218,180,38,55.56,17.43,67.28
AZ,2017,4052,288,213,181,32,62.85,15.02,73.96
AZ,2018,4075,269,170,141,29,52.42,17.06,63.2
AZ,2019,4233,299,207,171,36,57.19,17.39,69.23
AZ,2021,4336,253,170,129,41,50.99,24.12,67.19
AZ,2022,4193,278,150,124,26,44.6,17.33,53.96
AZ,2023,4229,281,158,124,34,44.13,21.52,56.23
AZ,2024,4394,340,180,154,26,45.29,14.44,52.94
AZ,2025,4361,342,183,156,27,45.61,14.75,53.51
BAL,2015,4279,230,218,161,57,70,26.15,94.78
BAL,2016,4176,267,217,178,39,66.67,17.97,81.27
BAL,2017,4423,309,262,212,50,68.61,19.08,84.79
BAL,2018,4323,259,223,178,45,68.73,20.18,86.1
BAL,2019,4421,316,288,230,58,72.78,20.14,91.14
BAL,2021,4255,388,277,237,40,61.08,14.44,71.39
BAL,2022,4265,310,153,130,23,41.94,15.03,49.35
BAL,2023,4129,314,172,152,20,48.41,11.63,54.78
