park,hand,total_bbe,total_barrels,total_hr,barrel_hr,nonbarrel_hr,earned_pct,lucky_pct,overall_pct,period
ATH,L,16100,1025,655,566,89,55.22,13.59,63.9,2015-2025
ATH,R,25972,1792,1112,958,154,53.46,13.85,62.05,2015-2025
ATL,L,17971,1128,766,615,151,54.52,19.71,67.91,2015-2025
ATL,R,23023,1705,1031,908,123,53.26,11.93,60.47,2015-2025
AZ,L,18623,1185,702,561,141,47.34,20.09,59.24,2015-2025
AZ,R,23937,1750,1100,924,176,52.8,16,62.86,2015-2025
BAL,L,17103,1231,916,758,158,61.58,17.25,74.41,2015-2025
BAL,R,25519,1906,1324,1104,220,57.92,16.62,69.46,2015-2025
BOS,L,17810,1266,712,568,144,44.87,20.22,56.24,2015-2025
BOS,R,25028,1791,1117,877,240,48.97,21.49,62.37,2015-2025
CHC,L,16482,1097,737,609,128,55.52,17.37,67.18,2015-2025
CHC,R,23898,1593,1138,895,243,56.18,21.35,71.44,2015-2025
CIN,L,16645,1055,949,688,261,65.21,27.5,89.95,2015-2025
CIN,R,23977,1439,1260,947,313,65.81,24.84,87.56,2015-2025
CLE,L,20705,1308,941,727,214,55.58,22.74,71.94,2015-2025
CLE,R,20248,1324,857,713,144,53.85,16.8,64.73,2015-2025
COL,L,17815,1068,828,617,211,57.77,25.48,77.53,2015-2025
COL,R,26618,1762,1321,1036,285,58.8,21.57,74.97,2015-2025
CWS,L,15830,944,718,565,153,59.85,21.31,76.06,2015-2025
CWS,R,25183,1690,1177,943,234,55.8,19.88,69.64,2015-2025
DET,L,15960,1112,637,482,155,43.35,24.33,57.28,2015-2025
DET,R,26444,1923,1127,897,230,46.65,20.41,58.61,2015-2025
HOU,L,14387,949,727,494,233,52.05,32.05,76.61,2015-2025
HOU,R,26130,1620,1303,871,432,53.77,33.15,80.43,2015-2025
KC,L,17704,1196,641,558,83,46.66,12.95,53.6,2015-2025
KC,R,25802,1778,927,812,115,45.67,12.41,52.14,2015-2025
LAA,L,15022,1083,768,655,113,60.48,14.71,70.91,2015-2025
LAA,R,25982,1891,1295,1155,140,61.08,10.81,68.48,2015-2025
LAD,L,16944,1246,941,796,145,63.88,15.41,75.52,2015-2025
LAD,R,22785,1549,1191,1020,171,65.85,14.36,76.89,2015-2025
MIA,L,16163,1017,627,525,102,51.62,16.27,61.65,2015-2025
MIA,R,25538,1595,900,789,111,49.47,12.33,56.43,2015-2025
MIL,L,16499,1042,826,684,142,65.64,17.19,79.27,2015-2025
MIL,R,23142,1589,1170,1002,168,63.06,14.36,73.63,2015-2025
MIN,L,18785,1291,818,651,167,50.43,20.42,63.36,2015-2025
MIN,R,23520,1859,1182,989,193,53.2,16.33,63.58,2015-2025
NYM,L,18058,1150,838,689,149,59.91,17.78,72.87,2015-2025
NYM,R,21926,1442,1009,829,180,57.49,17.84,69.97,2015-2025
