season,total_barrels,total_hr,barrel_hr,nonbarrel_hr,hr_per_barrel,earned_pct,lucky_pct
2015,6360,4804,3720,1084,75.53,58.49,22.56
2016,7407,5535,4360,1175,74.73,58.86,21.23
2017,7419,6088,4759,1329,82.06,64.15,21.83
2018,7910,5566,4430,1136,70.37,56.01,20.41
2019,8646,6720,5338,1382,77.72,61.74,20.57
2021,9096,5933,4983,950,65.23,54.78,16.01
2022,8843,5213,4375,838,58.95,49.47,16.08
2023,9472,5866,4969,897,61.93,52.46,15.29
2024,9154,5450,4564,886,59.54,49.86,16.26
2025,10147,5648,4839,809,55.66,47.69,14.32
